id,slug,trading_name,area,published,claimed,verification_state,completeness_score_6,suggested_indexable,review_reasons,suggested_action
ad26d455-6521-4666-a9ce-dbcead9da6a8,25seven-assist,25Seven Assist,Durban North,true,false,directory_record,4,true,,retain_review
5bd6be9e-fdee-42b3-8c4f-a02684c00688,berea-plumbers,Berea Plumbers,Durban North,true,false,directory_record,3,true,thin_description,manual_review
dd20b4cb-5170-4491-890e-1cc3ba4c70bb,bmtt-plumbing-services,BMTT Plumbing Services,Pinetown,true,false,directory_record,4,true,,retain_review
8c186233-f9c4-4edd-9e58-ea4f2867e790,chapman-plumbing,Chapman Plumbing,Ballito,true,false,directory_record,2,true,missing_services|thin_description,manual_review
f06394f4-97f6-444f-8ee8-9fc7aed871c0,chb-plumbing,CHB Plumbing,Pinetown,true,false,directory_record,2,true,missing_services|thin_description,manual_review
b4165338-210f-4600-af35-e2e7dbacfec6,ganga-plumbers,Ganga Plumbers,Pinetown,true,false,directory_record,2,true,missing_services|thin_description,manual_review
ae87ccf3-318c-4d78-854b-a13a963da60c,imbokodo-plumbing-services,Imbokodo Plumbing Services,PMB,true,false,directory_record,3,true,thin_description,manual_review
48118ee8-d428-4f61-a332-74e83231818d,modl-plumbers,Modl Plumbers,Pinetown,true,false,directory_record,4,true,,retain_review
c6641495-9214-4b22-9e24-f973e338cc17,plumbxzn,PlumbXZN,Newcastle,true,false,directory_record,3,true,missing_services,manual_review
e6864393-9495-42f0-9cf4-c963206708c5,silver-solutions-1273cc-kzn-plumbing,Silver Solutions 1273CC - KZN Plumbing,South Coast,true,false,directory_record,4,true,,retain_review
9c84aa3b-f53e-435f-96f3-4158e2297b2e,piet-man-plumbing-solutions,Piet-man Plumbing Solutions,Ballito,true,false,directory_record,3,true,missing_services,manual_review
1c82b7c3-face-4869-b771-971ff3ead24d,united-solar-rsa,United Solar RSA,Durban North,true,false,directory_record,2,false,missing_services|thin_description,manual_review
deec2f4b-6cf4-4f6f-87b6-cc1ed77aa2bc,kvv-projects,KVV PROJECTS,Durban North,true,false,directory_record,4,true,,retain_review
e4b40406-63f4-44a2-b6be-4520b524b1e0,mr-plumber,Mr Plumber,Newcastle,true,false,directory_record,3,true,,retain_review
b64dc5ac-6c5b-4700-8432-c427fc08ebb1,rns-waterworks,Rns Waterworks,Durban North,true,false,directory_record,3,true,,retain_review
7942c58a-e144-4b6b-beb7-76dd880cd528,zakombunje,Zakombunje,Durban South,true,false,directory_record,3,true,missing_services,manual_review
53139114-5774-4113-b44f-ad3b25fccac8,24-fix-durban,24 Fix ( Durban ),Durban North,true,false,directory_record,2,true,thin_description,manual_review
5302a0ee-dd8b-4fdb-b167-44aee2f25a4d,mzele-enterprise,Mzele Enterprise,Durban South,true,true,business_claimed,6,true,,retain_review
d980217b-f2ee-4512-ade1-039c9ac90529,osolwazi-plumbers,Osolwazi Plumbers ,Pinetown,true,true,business_claimed,3,true,missing_phone|thin_description,manual_review
e19efa03-4b36-4143-888c-0d555bbace44,24-7-geyser-and-plumbing-solutions,24-7 Geyser And Plumbing Solutions,Ballito,true,false,directory_record,3,true,,retain_review
058fbd44-0ad1-4337-a258-1050716bc6de,25-seven-assist,25 Seven Assist,Durban South,true,false,directory_record,1,false,missing_services|thin_description,manual_review
746b8698-25bf-4382-b339-b2c1e9932eef,360-plumbing-and-renovations,360 Plumbing and Renovations,Durban North,true,false,directory_record,4,true,,retain_review
22bdf045-92b2-4ff3-9926-72021ffcd5b1,3d-united-projects,3D United Projects,Richards Bay,true,false,directory_record,3,true,,retain_review
bbed36ea-c322-441d-9127-b82094ce01db,luve-investment-plumbing,Luve investment plumbing ,Durban North,true,true,business_claimed,4,true,,retain_review
36aaa488-7f18-4d05-85b6-2bf5be950294,a-class-plumbers,A-class Plumbers,Pinetown,true,false,directory_record,4,true,,retain_review
54b09fdd-47cb-47e9-8c96-f7d5d7fa7bd1,a1-plumbing,A1 Plumbing,South Coast,true,false,directory_record,4,true,,retain_review
db1f7183-6aa6-40ad-90ee-722d07b5dc08,a2d-plumbers,A2D Plumbers,Durban North,true,false,directory_record,4,true,,retain_review
c0a0c6ca-e84b-47a0-841a-653ff604222e,abanda-manzi-plumbing-and-building-services,Abanda Manzi Plumbing and Building Services,PMB,true,false,directory_record,2,true,missing_services|thin_description,manual_review
eaa5c237-3393-491e-985e-7bd55008ff57,abc-plumbing-and-civils,Abc Plumbing And Civils,Durban South,true,false,directory_record,3,true,,retain_review
093f5f6e-21be-4a6b-9fbe-5fb3be5182b0,abjoy-development-services,Abjoy Development Services,Durban South,true,false,directory_record,1,true,missing_services|thin_description,manual_review
f5e21d81-1287-45f3-8dd1-ac996f947cd3,acorn-projects-19,Acorn Projects 19,Pinetown,true,false,directory_record,3,true,missing_services,manual_review
c55688e7-4b67-48db-b448-8cb179b329e7,african-valleys,African Valleys,Pinetown,true,false,directory_record,2,true,missing_services,manual_review
84b97dde-2c49-4aca-abe1-e114580ff047,afriplumb,Afriplumb,Durban South,true,false,directory_record,1,false,missing_services|thin_description,manual_review
4ee542ab-7b3e-4a6c-862b-15b474140341,agglomerate-intermediary-services,Agglomerate Intermediary Services,Durban North,true,false,directory_record,4,true,,retain_review
fdd69b5b-9576-45e4-8a41-6717ee24d1fd,akwande-multi-services,Akwande Multi Services,Richards Bay,true,false,directory_record,1,true,missing_services|thin_description,manual_review
88eb01a0-7666-4bd5-886c-51687c3cd4ca,al-imaad-foundation,Al-imaad Foundation,Newcastle,true,false,directory_record,3,true,thin_description,manual_review
cf0c2c99-98a5-4842-9363-7d241e07116b,off-the-grid,Off the Grid,South Coast,true,true,business_claimed,3,true,missing_services|generated_template_description,manual_review
c89a2c36-10cb-45ad-99f4-3522ce214b0f,alex-campbell-co-plumbers,Alex Campbell & Co Plumbers,PMB,true,false,directory_record,2,false,missing_services|thin_description,manual_review
f849229d-6ae5-4bcc-8824-4a3ebc01149e,alleys-industrial-services,Alleys Industrial Services,Richards Bay,true,false,directory_record,3,true,thin_description,manual_review
e4a135cd-4617-4752-b051-83a8ce2fe7bd,allied-fire,Allied Fire,Pinetown,true,false,directory_record,3,true,thin_description,manual_review
0a151fe0-4288-4660-8f9b-a5a2d9558093,alomamix,Alomamix,Newcastle,true,false,directory_record,2,true,missing_services,manual_review
6721cf63-4a9d-42d7-a43f-74254df31fa5,am-pm-project-management-services,AM PM Project Management Services,Ballito,true,false,directory_record,3,true,missing_services,manual_review
a8f22313-bafc-4fd7-82dc-154ff13e7d94,amamvelase-amahle,Amamvelase Amahle,Richards Bay,true,false,directory_record,4,true,,retain_review
add051d1-67c9-4079-b6fa-4ac3343fd484,amanfo-trading,Amanfo Trading,Pinetown,true,false,directory_record,3,true,thin_description,manual_review
e960ccd9-6bb9-49f7-95ed-d52e15ab6cf5,amangwane-visions,Amangwane Visions,Durban North,true,false,directory_record,2,true,missing_services,manual_review
93cc440e-6d0b-4e33-9e23-490365e7b511,amangwenya-trading-and-projects,Amangwenya Trading And Projects,Durban North,true,false,directory_record,4,true,,retain_review
297cbe0c-7788-472b-8e7b-83e824b8a23d,amazwi-jn-trading,Amazwi jn trading,Richards Bay,true,false,directory_record,2,true,missing_services,manual_review
c5a2284b-1e30-45dc-bde1-1cfc63e711b7,ams-plumbing,AMS Plumbing,Durban South,true,false,directory_record,2,true,missing_services|thin_description,manual_review
7a38f90e-59ef-402e-a330-786fdb4652ec,aneli-projects,Aneli Projects,Pinetown,true,false,directory_record,3,true,,retain_review
d3f55c7a-f4f2-4585-9ee4-08d17f5847a1,antolo-trading-and-plumbing,Antolo Trading And Plumbing,Durban South,true,false,directory_record,2,true,missing_services|thin_description,manual_review
9e069b60-5ea5-4801-b5fe-9504f76ab19d,apex-care-innovations,Apex care innovations,Pinetown,true,false,directory_record,3,true,,retain_review
dbecd360-eaf4-4c11-b8c4-e8fef7f4a748,apg-plumbing,APG Plumbing,Ballito,true,false,directory_record,3,true,thin_description,manual_review
ac25ba87-9501-4f9d-b95c-92d5f8ea73be,app-plumbing,APP Plumbing,PMB,true,false,directory_record,3,true,,retain_review
4af2226e-76d9-498e-b437-6f31fb567b50,aqua-solutions,Aqua Solutions,PMB,true,false,directory_record,1,true,missing_services|thin_description,manual_review
dd2fe36c-5d19-4067-8793-2638e615409c,aquafix-plumbing-services,Aquafix Plumbing Services,Pinetown,true,false,directory_record,2,false,missing_services|thin_description,manual_review
a4fccada-157a-49af-ba59-c7e7e5c66322,nokusonga-construction-pty-ltd,NOKUSONGA CONSTRUCTION PTY LTD ,Durban North,true,true,business_claimed,4,true,,retain_review
ab3e2e4b-84f7-4bb7-9fa8-3775ffb36d9b,ashcom-building-and-plumbing-contractors,Ashcom building and plumbing contractors,Richards Bay,true,false,directory_record,3,true,,retain_review
7c13f605-1246-4e5c-a31a-db1eab4d72f4,ashwin-plumbers,Ashwin Plumbers,Durban South,true,false,directory_record,4,true,,retain_review
e459070a-44f8-4efc-b53b-dd55c8c956ab,astine-projects,Astine Projects,Durban North,true,false,directory_record,2,true,thin_description,manual_review
937baf45-324d-46cb-988e-6da96e648099,austria-plunbing,Austria Plunbing,Richards Bay,true,false,directory_record,2,true,missing_services,manual_review
df437b10-59b5-4c47-b9b4-6368aee9a36e,auxilliary-plumbers,Auxilliary Plumbers,Durban South,true,false,directory_record,4,true,,retain_review
12f59c96-5504-4f8e-a31f-a9509388bfb7,awande-m-and-n,Awande M and N,Durban North,true,false,directory_record,4,true,,retain_review
4523e1cd-3e7b-41d0-98ba-3839dac6a207,ayab-projects,Ayab Projects,Richards Bay,true,false,directory_record,2,true,missing_services,manual_review
09ce916a-55e1-4149-b977-3c4f98eb53e1,ayanda-amashenge-trading,AYANDA AMASHENGE TRADING,Durban North,true,false,directory_record,2,true,missing_services,manual_review
6c018413-021a-4d96-af73-397a832e1570,aysaf-plumbers-home-improvements,Aysaf Plumbers & Home Improvements,Durban North,true,false,directory_record,2,true,missing_services|thin_description,manual_review
5e68d168-94f7-4463-a156-1b9dfb79b2c2,azania-bhaca,Azania Bhaca,PMB,true,false,directory_record,3,true,,retain_review
1f69efed-f083-4d67-8f67-2d25b752f7d4,b-s-plumbers,B & S Plumbers,Durban North,true,false,directory_record,1,true,missing_services|thin_description,manual_review
bb21607a-6222-4397-8b1c-1381dadc7b8c,baert-plumbing,Baert Plumbing,PMB,true,false,directory_record,3,true,thin_description,manual_review
bd739ebb-ef10-4cb9-bd33-6fc6758f0668,menzi-h-plumbers,Menzi H Plumbers,Durban North,true,true,business_claimed,2,true,missing_phone|thin_description,manual_review
f4fdcbfc-731b-4e9a-bc2d-509ba5b39fc9,bamba-plumbers,Bamba Plumbers,Ballito,true,false,directory_record,3,true,,retain_review
35e9a6fc-c74b-477f-b9e9-83d06e50164d,baycity-aluminium-and-projects,Baycity Aluminium and Projects,Richards Bay,true,false,directory_record,3,true,,retain_review
eec5479a-1c58-4c9b-9bd0-6d12b374ae62,bbam,BBAM,Durban North,true,false,directory_record,2,false,missing_services|thin_description,manual_review
9e90842d-dfb9-4755-bc8f-0f54ec393e6b,bearded-industries,Bearded Industries,PMB,true,false,directory_record,2,false,missing_services|thin_description,manual_review
eb30318c-512c-4b9a-b985-7fc39943def7,bergens-s-aplliance-repairs-and-plumbing-durban,Bergens's Aplliance Repairs and Plumbing Durban,Durban South,true,false,directory_record,2,true,thin_description,manual_review
f96b8c66-91ed-458a-b78a-ec464b11bd9a,bfb-plumbing-construction-and-maintenance,BFB Plumbing Construction and Maintenance,Richards Bay,true,false,directory_record,4,true,,retain_review
73256344-e6f8-4c52-a185-e04b7b2acc50,bg-plumbing,BG Plumbing,PMB,true,false,directory_record,2,true,missing_services|thin_description,manual_review
bf883ef6-5fcc-401e-a832-bb23253f64d4,biyela-plumbers-and-projects,Biyela Plumbers and Projects,Durban North,true,false,directory_record,3,true,thin_description,manual_review
8cd53e69-16aa-4279-8099-82f7d20aa904,black-ants-intervention-unit,Black Ants Intervention Unit,PMB,true,false,directory_record,3,true,,retain_review
e18fc043-c69e-4be8-8956-74bf34ceb4ce,blackwolf-plumbing-and-accessories,Blackwolf Plumbing and Accessories,Ballito,true,false,directory_record,4,true,,retain_review
9dc953f4-b60f-41dd-8dbc-b98ea94c0d0d,blue-sky-plumbers,blue sky plumbers,Durban North,true,false,directory_record,3,true,missing_services,manual_review
6099bc3f-93e8-4dc1-a3f3-74cbdde53462,bluedot-plumbing-inn,Bluedot plumbing inn,PMB,true,false,directory_record,4,true,,retain_review
084c5897-97dc-4538-b58d-99420a179fce,bradlee,Bradlee,Durban South,true,false,directory_record,4,true,,retain_review
f09e891e-4383-40b7-96b6-5dfb52a6c5ea,breakthru-101-services,BreakThru 101 Services,PMB,true,false,directory_record,2,true,missing_services|thin_description,manual_review
27f1b16d-f620-48c4-8d5f-38f72c199583,brenlin-plumbing,Brenlin Plumbing,Durban North,true,false,directory_record,3,true,thin_description,manual_review
f11a1d69-cf5b-415f-9c72-61b150f1d3b5,brian-brandis-electrical,Brian Brandis Electrical,PMB,true,false,directory_record,4,true,,retain_review
0714fa88-59ff-4568-976c-bc0b6e0e0cb7,brij-s-plumbing-services,Brij's Plumbing Services,Durban North,true,false,directory_record,2,false,missing_services|thin_description,manual_review
4da34597-4068-4df9-a2a7-2c0f20539750,bruce-rode-plumbing,Bruce Rode Plumbing,Durban South,true,false,directory_record,3,true,thin_description,manual_review
72cab26b-a058-4899-b87e-a847ad550cc5,building-and-civils-construction-solutions,Building And Civils Construction Solutions,Ballito,true,false,directory_record,2,true,thin_description,manual_review
5091db53-17dc-4f8b-9f4b-0232f072eea2,buildworth-projects,Buildworth Projects,PMB,true,false,directory_record,2,true,missing_services|thin_description,manual_review
fd8bbd5a-28bf-490b-846e-e74315afc383,dc-plumbing-and-handyman,DC Plumbing and Handyman,Other KZN,true,false,directory_record,1,true,missing_services|generated_template_description,manual_review
bb8582fd-3f8c-458c-9d03-734149118d5d,bure-plumbers,Bure Plumbers,Newcastle,true,false,directory_record,4,true,,retain_review
e74720df-3b64-4a00-9969-64a2cfe96078,c-r-contractors-kwazulu,C & R Contractors Kwazulu,Durban North,true,false,directory_record,1,true,missing_services|thin_description,manual_review
41d31ac6-9b78-4df1-a024-28196ba05936,c-and-c-plumbing-solutions,C and C Plumbing Solutions,Ballito,true,false,directory_record,2,true,missing_services|thin_description,manual_review
1d2083fd-741f-457f-9d40-bf978485670b,c-strong-plumbng,C-Strong Plumbng,South Coast,true,false,directory_record,2,true,missing_services|thin_description,manual_review
5d37667f-a445-4a2e-9719-ecc544cc1b33,c-f-thompson-plumbers,C.F Thompson Plumbers,PMB,true,false,directory_record,2,true,missing_services|thin_description,manual_review
0bb3a0f9-fe9c-4420-8cdf-d42cf84aea42,c-j-de-bruyn,C.J. de Bruyn,Richards Bay,true,false,directory_record,1,false,missing_services|thin_description,manual_review
9a763e68-f121-409b-9591-c6318334997a,bobbys-plumbers,Bobbys plumbers,Pinetown,true,true,business_claimed,4,true,,retain_review
673d8dc1-7529-4979-9c9d-a6a786326a27,callaghan-plumbing,Callaghan Plumbing,Durban North,true,false,directory_record,2,true,thin_description,manual_review
632dfe34-f158-4c66-92ae-b43f33ea3381,calnik,CALNIK,Durban North,true,false,directory_record,4,true,,retain_review
70beb8bc-3dc7-473b-9ac8-7fdd99d5e24d,buselaphi-plumbers,Buselaphi Plumbers,Pinetown,true,true,business_claimed,4,true,thin_description,manual_review
6d07200c-d8d5-4a56-bc1c-057fe4c2d2a0,dph-sizani-plumbers-and-drainlayers,DPH SIZANI PLUMBERS AND DRAINLAYERS ,Durban South,true,true,business_claimed,3,true,missing_phone|thin_description,manual_review
340fafed-4982-462b-b944-e3b16ba60317,canpro-plumbing-and-maintenance,Canpro Plumbing and Maintenance,Durban North,true,false,directory_record,4,true,,retain_review
00447ff6-561b-43f6-ac12-5169de95428a,td-project,Td Project  ,Durban South,true,true,business_claimed,5,true,,retain_review
6b769af5-4b2a-488e-b6ba-76a8bc02e93a,cdx-trading-investments,Cdx Trading Investments,PMB,true,false,directory_record,3,true,,retain_review
bdf019c9-d197-499b-ab20-6cd327da3b5c,cga-trade-and-supply,CGA Trade and Supply,Durban North,true,false,directory_record,3,true,,retain_review
646c9932-8930-4d8e-9447-d53d22b74a6d,civil-flow-plumbing-and-projects,Civil Flow Plumbing and Projects,Durban South,true,false,directory_record,4,true,,retain_review
8cf8cc74-337e-48b0-9d82-d7e52e5f4efd,cj-copland-plumbing,CJ Copland Plumbing,Durban North,true,false,directory_record,4,true,,retain_review
fe409b4f-d1b1-4dc7-ac4e-6c97a582e135,coastline-plumbing,Coastline Plumbing,Richards Bay,true,false,directory_record,4,true,,retain_review
91c84479-b17d-4a69-ab36-bd52660e6df9,class-a-plumbing-and-home-maintenance,Class A Plumbing and Home Maintenance,Richards Bay,true,false,directory_record,3,true,thin_description,manual_review
08447df8-287e-4fbd-9dfa-fcbf92f8bf03,cle-plumbing,Cle Plumbing,Durban North,true,false,directory_record,3,true,,retain_review
2dd75ad8-d54e-42cd-b9b1-3768a33b3d6d,coastal-construction-and-maintenance,Coastal Construction and Maintenance,Durban South,true,false,directory_record,2,true,thin_description,manual_review
206caae5-5fbb-45b4-b4c2-71ff142e77cd,coc-solutions,COC Solutions,Durban South,true,false,directory_record,3,true,missing_services,manual_review
93e8f3a0-ef85-4210-91c0-78f5c1fab7c7,cordoba-plumbers,Cordoba Plumbers,Ballito,true,false,directory_record,4,true,,retain_review
ff2714b0-fca1-4071-904c-a62f04ad67d8,r-bukum-t-a-rns-waterworks,R BUKUM t/a RNS WATERWORKS,Durban North,true,true,business_claimed,2,true,missing_phone|thin_description,manual_review
1d68bef5-2f04-4327-8448-b76eabc9332e,coza-traders,Coza Traders,Durban North,true,false,directory_record,3,true,,retain_review
ddbb33a8-8e9b-4510-9f3a-befe67e03601,cupha-project,Cupha Project,Pinetown,true,false,directory_record,2,true,missing_services,manual_review
e210ed53-0f14-479c-a0f6-f6eb8d256bc9,cyclone-construction,Cyclone Construction,PMB,true,false,directory_record,1,false,missing_services|thin_description|entity_type_review,manual_review
1b391312-d287-48a2-897d-bf8d0947e313,d-and-d-plumbing-and-geyser-specialist,D and D Plumbing and Geyser Specialist,Durban South,true,false,directory_record,3,true,thin_description,manual_review
dd0185a4-d9ac-4bf5-8478-b0aeb67424c2,dar-plumbing,DAR Plumbing,PMB,true,false,directory_record,3,true,,retain_review
0e56f5c8-a124-4af1-9017-6d5c03285e0c,db-plumbing-and-maintenance,Db Plumbing and Maintenance,South Coast,true,false,directory_record,3,true,thin_description,manual_review
8ad34414-fd9f-4db7-84fc-58bea9906f12,dc-plumbers,DC Plumbers,Newcastle,true,false,directory_record,4,true,,retain_review
7fa3288a-56f9-4377-9453-293d99b63f6e,dean-fouche-plumbing-services,Dean Fouche Plumbing Services,Pinetown,true,false,directory_record,4,true,,retain_review
5ed646b5-2c45-4bb1-9996-54e569a8f958,dehals-plumbers,Dehals Plumbers,Durban North,true,false,directory_record,2,false,missing_services|thin_description,manual_review
cf3d3d38-0a9f-40f8-9d5a-807ac98f98a4,denozzo-trading-t-a-ccm-projects,Denozzo Trading t-a CCM Projects,Durban South,true,false,directory_record,2,true,missing_services,manual_review
9e6c901d-a1b4-4028-8787-9ac468d35f3a,department-of-health-mosvold-hospital,Department of Health Mosvold Hospital,Durban North,true,false,directory_record,2,false,missing_services|thin_description,manual_review
6494dd18-b6d5-401a-b208-09a8f0b7da81,dewedrop-plumbing-and-building,Dewedrop Plumbing and Building,Durban North,true,false,directory_record,2,true,missing_services|thin_description,manual_review
433cf452-250a-4fc4-8ce9-9a9081b7ff25,dg-plumbers-and-contractors,Dg Plumbers and Contractors,Durban North,true,false,directory_record,3,true,,retain_review
ab58602b-e36b-4f97-a975-3a2af1a21112,dh-interior-and-renovations,Dh Interior and Renovations,Durban North,true,false,directory_record,3,true,,retain_review
deafdc0a-668d-4204-bb24-90c97ef04774,drain-and-pipe-north-coast-trading-as-the-drain-surgeon,Drain and Pipe North Coast trading as The Drain Surgeon,Richards Bay,true,false,directory_record,3,true,,retain_review
a0bd547a-e833-4ab8-8186-cf53626c731d,dianco-s-plumbing-services,Dianco's Plumbing Services,Newcastle,true,false,directory_record,1,false,missing_services|thin_description,manual_review
53fd07c8-0121-4a33-9458-51b24d93d763,sietra-civils,Sietra Civils,Durban South,true,true,business_claimed,4,true,generated_template_description,manual_review
73cb0445-be89-4ec1-8e6a-c94614a9b858,dkh-plumbers,DKH Plumbers,Durban North,true,false,directory_record,3,true,,retain_review
a2c4bcf0-1e5c-4741-83f8-440baa88f706,dlangamandla-civils-and-maintenance,Dlangamandla Civils and Maintenance,Durban North,true,false,directory_record,3,true,,retain_review
bc3f1cc7-f47b-4973-8616-756ade1e4178,dly-plumbing-contractors,DLY Plumbing Contractors,Durban North,true,false,directory_record,2,true,missing_services|thin_description,manual_review
153bdbdc-8f20-4da8-96c8-f38b596adfe4,plumbguarantee,PlumbGuarantee,Pinetown,true,false,directory_record,1,true,missing_services|thin_description,manual_review
f3b76500-ca32-47c9-992b-c6a586099b88,ds-construction-and-civils,DS Construction and Civils,Durban South,true,false,directory_record,4,true,,retain_review
7c97cb07-f32c-4bbf-b52c-fbdf501c4625,dsj-plumbing-and-general-maintenance,Dsj Plumbing and General Maintenance,Durban South,true,false,directory_record,3,true,,retain_review
4f1881a4-17ec-4490-9683-f93d5f724f06,dube-trade-port,Dube Trade Port,Ballito,true,false,directory_record,2,true,missing_services|thin_description,manual_review
74d839cf-2e36-47d0-a208-504e9dd2ed78,dunamis-marketing-and-maintenance,Dunamis Marketing and Maintenance,Richards Bay,true,false,directory_record,3,true,,retain_review
3152c28d-49ec-4c43-a140-45c912b08585,dunrite-homes,Dunrite Homes,PMB,true,false,directory_record,1,false,missing_services|thin_description,manual_review
93581661-8e8f-421d-b5a8-4a2fc208294a,durban-plumbers-and-builders,Durban Plumbers and Builders,Durban North,true,false,directory_record,4,true,,retain_review
d71cff4e-ef2c-43d5-b8a7-0e60ba83f7b4,dwarfs-construction-and-maintenance,Dwarfs Construction And Maintenance,Richards Bay,true,false,directory_record,3,true,thin_description,manual_review
9aad2822-92bb-4441-83f4-5693ee1bf2b0,e-m-plumbing,E.M Plumbing,Richards Bay,true,false,directory_record,1,false,missing_services|thin_description,manual_review
390a145d-1f63-4745-a18a-44a31f8405e5,earlsfield-plumbers,Earlsfield Plumbers,Durban North,true,false,directory_record,2,false,missing_services|thin_description,manual_review
86bc6194-ffcc-4a9e-a2a1-757bf2a53755,plumbitrite-contractors-cc,Plumbitrite Contractors cc,Durban North,true,true,business_claimed,6,true,,retain_review
62800d1f-2f61-4924-a5f1-e198f761f431,east-cost-projects,East Cost Projects,Durban North,true,false,directory_record,1,false,missing_services|thin_description,manual_review
194210f5-1cfd-440b-8de4-44c887d5d530,easy-flo-plumbing-services,Easy Flo Plumbing Services,Durban North,true,false,directory_record,3,true,,retain_review
ce4d7b2e-d253-4772-910a-6777c6b50fe6,eco-tech-plumbing,Eco-Tech Plumbing,South Coast,true,false,directory_record,2,true,missing_services|thin_description,manual_review
34df2187-3a85-40fc-96c8-ed88f575f539,ej-plumbing,EJ plumbing,Durban North,true,false,directory_record,3,true,,retain_review
892fc46d-e514-47e6-a07d-e58b6a41bdd7,el-matador-plumbing-and-construction,El Matador Plumbing and Construction,Durban South,true,false,directory_record,3,true,entity_type_review,manual_review
2dc8979b-3765-447b-b027-4052dd8cbd58,elevation-builders-group,Elevation Builders Group,Durban South,true,false,directory_record,3,true,,retain_review
edf39faa-edc0-4b34-b076-7db07cf16980,embo-power-projet,embo power projet,Newcastle,true,false,directory_record,2,true,thin_description,manual_review
fcda0a16-77cb-4218-a53a-3fe4f61597c2,encore-maintenance-solutions,Encore Maintenance Solutions,Richards Bay,true,false,directory_record,2,true,thin_description,manual_review
27a7e2e8-ca6a-4d5f-a078-08966f361c54,famous-plumbers,Famous Plumbers,Durban South,true,true,business_claimed,4,true,,retain_review
fe4531c0-7ef6-4fe3-9bb6-22ca90ce380d,epc-engineering-projects-and-consultants,EPC Engineering Projects and Consultants,Durban South,true,false,directory_record,3,true,missing_services,manual_review
63d4c307-a829-4fc8-b800-eb842172ec9a,ergoflex-233cc-jeremiah-plumbing-and-maintenance,Ergoflex 233cc Jeremiah Plumbing and Maintenance,Durban North,true,false,directory_record,3,true,,retain_review
0c1d4c6f-44c0-4ca9-8f88-d5385d92a13a,eshara-services-and-supplies,Eshara Services and Supplies,PMB,true,false,directory_record,3,true,,retain_review
d565eff9-4689-4ac6-8753-3695142c1484,essenwood-residential-home,Essenwood Residential Home,Durban North,true,false,directory_record,1,true,missing_services|thin_description,manual_review
10f6b38b-4e99-4658-acb4-cc296ef8d1d3,ethekwini-municipality,Ethekwini Municipality,Ballito,true,false,directory_record,2,false,missing_services|thin_description|entity_type_review,manual_review
23725867-47ed-469b-af9f-8f9fe76f8afe,braderhood-plumbers,Braderhood Plumbers,Durban North,true,true,business_claimed,3,true,thin_description,manual_review
c394c216-def9-4b2d-8165-0dd389d2c55f,excellent-touch,Excellent Touch,Durban North,true,false,directory_record,2,true,missing_services|thin_description,manual_review
de72ef99-49ec-4898-8ee1-db030f7c3878,exo1414-group,Exo1414 Group,Durban North,true,false,directory_record,2,true,missing_services,manual_review
bb3b4d60-e6d2-4e86-82ac-d0a576f6c162,faithful-plumbing-and-maintenance,Faithful Plumbing and Maintenance,Pinetown,true,false,directory_record,4,true,,retain_review
f5517576-353f-4564-880f-57f359659371,fas-trading-sa,Fas Trading Sa,Durban South,true,false,directory_record,4,true,,retain_review
b67fc67b-ab23-4fb6-b8ae-17b3b4c171ed,fenner-trading,Fenner Trading,South Coast,true,false,directory_record,3,true,,retain_review
1cd742b0-7e7f-4630-b48f-545f8536ccfa,fire-fox,Fire Fox,South Coast,true,false,directory_record,1,true,missing_services|thin_description,manual_review
c6396b97-bcf6-4a1e-a734-ef94654bc0ed,fitt-rite-plumbers,Fitt Rite Plumbers,Pinetown,true,false,directory_record,3,true,thin_description,manual_review
4d643901-4bab-4626-8ec2-12ca5f71c249,flopro-plumbing,FloPro Plumbing,Richards Bay,true,false,directory_record,4,true,,retain_review
